cluster_id,left_key,right_key,method,similarity,threshold,left_sha256,right_sha256
dedup-0029,bangdream_005_school_summer,bangdream_005_school_summer-2023,embedding_cosine,0.9941351413726807,0.992,6e9ee6d1858f838a7c56d67b7100705262901382b0f8139df1d17a6170422e26,098c61d267bd3388d5dbb86c723a034d23406583fbf7d81f98bfba273413da5f
dedup-0027,bangdream_005_school_winter,bangdream_005_school_winter-2023,embedding_cosine,0.9941666126251221,0.992,171d3cd3e57a01664ea0f7c85e0a7ca8896bb8f950a55c7144793bdc109aded3,49bb3c545c081946d2ecb0fbf45d3264f19ec132f34ae555da93c8964bfc6c77
dedup-0027,bangdream_005_school_winter,bangdream_005_school_winter_v3,embedding_cosine,0.9988099932670593,0.992,171d3cd3e57a01664ea0f7c85e0a7ca8896bb8f950a55c7144793bdc109aded3,3e1f6d040053776ee73208e4a4d8fc3000faedaa207d990b94ae61deccf58f78
dedup-0027,bangdream_005_school_winter-2023,bangdream_005_school_winter_v3,embedding_cosine,0.9949712157249451,0.992,49bb3c545c081946d2ecb0fbf45d3264f19ec132f34ae555da93c8964bfc6c77,3e1f6d040053776ee73208e4a4d8fc3000faedaa207d990b94ae61deccf58f78
dedup-0030,bangdream_006_2019_furisode,bangdream_006_2024_furisode,embedding_cosine,0.9940640926361084,0.992,7642c3212a79930465ffc808c74382b8a36f3e611a61ffc2daf95e1d88464179,486185e2f9e852def793e849c0d5f175f3488a428fe00ac7f470f7dea005cc8c
dedup-0031,bangdream_006_casual_winter,bangdream_006_event_101_story_01,embedding_cosine,0.9973894357681274,0.992,8e853d4b10bb0560904f7e78df444fb73184323e2c2b246494e2efb1113416a0,6311b7e19b5624ad0bc5299a96ab31b5b3f6dfeaa90476b5ea013201e2e027c6
dedup-0032,bangdream_006_event_122_story_01,bangdream_006_swimsuit-2023,embedding_cosine,0.9957773685455322,0.992,89e1e406d18ba7e91bef342fee55987eddcfd9e3203e07ba8bd56b2c344bcba9,8752e51b7ed07f05865a1091d05fc4d78083b843d59a5dac0e96d097ee678a55
dedup-0033,bangdream_006_event_216_story_01,bangdream_006_school_winter_s2,embedding_cosine,0.999971866607666,0.992,deeb2ed937591b7c5650f52b049ea7a1cef0de8733d8dc0379164911788d26c2,33912fea1ff2c473713549c794ffc9940a1482674ede17cda26ea854b5e409d1
dedup-0034,bangdream_006_event_227_story_04,bangdream_006_live_event_227_ur,embedding_cosine,0.9996374845504761,0.992,1799c112b88acce861959f693b33e600e58e941193ed2edad93949836c1c0c4b,5561f0e7c67e44ae757a0ff371cc7d567fe8b294877264789dee6a1d4dabf29f
dedup-0035,bangdream_006_event_54_story_01,bangdream_006_pajamas-2023,embedding_cosine,0.9970626831054688,0.992,89966ebd4b4f72d6511047ceb540dba09325d56906b4449d6dc6db17b77702f6,ccce3557571e720355ecc111991cb84433d161c80b4806bfe4e03170de5f77bf
