resource_key,model_key,character_code,character_name,variant,resource_type,runtime,manifest_path,render_status,complete_person_decision,complete_person_reason,canvas_width,canvas_height,model_width,model_height,nonblank_pixels,nonblank_ratio,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y,bounds_width,bounds_height,slot_x,slot_y,slot_width,slot_height,bounds_inside_ratio,fill_width_ratio,fill_height_ratio,left_overflow,right_overflow,top_overflow,bottom_overflow,issue_level,texture_count,texture_pixels,render_canvas_sha256,screenshot_path,error_stage,error_message,audited_at,duration_ms
bangdream_011_casual,011_casual,011,弦卷心,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/011_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59327,0.259296,0,69,439,436,440,368,52,34,344,430,0.779694,1.27907,0.855814,52,43,0,0,good,1,1048576,9d123142e6f626303129e32251fa839bfdc4045a124a24047732f095b062797e,.cache/deskpet-audit/render-screenshots/bangdream_011_casual.png,,,2026-06-14T19:19:27.074Z,1049
bangdream_011_casual_summer,011_casual_summer,011,弦卷心,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/011_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59020,0.257955,0,69,439,436,440,368,52,34,344,430,0.779694,1.27907,0.855814,52,43,0,0,good,1,1048576,6b6a789ef25c5736745ab751e4e6dfb9f70267d92e25acfdafa295b0dee6042b,.cache/deskpet-audit/render-screenshots/bangdream_011_casual_summer.png,,,2026-06-14T19:19:28.123Z,1083
bangdream_011_casual_winter,011_casual_winter,011,弦卷心,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/011_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,65643,0.286901,0,41,439,436,440,396,52,34,344,430,0.779844,1.27907,0.92093,52,43,0,0,good,1,1048576,71e910c1ff8c7091d5b40ad5ab83e263f9dfbb51b1e2b528884566b75b7870bb,.cache/deskpet-audit/render-screenshots/bangdream_011_casual_winter.png,,,2026-06-14T19:19:29.207Z,1117
bangdream_012_casual,012_casual,012,濑田薰,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/012_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,64466,0.281757,0,24,439,436,440,413,52,34,344,430,0.760995,1.27907,0.960465,52,43,10,0,good,1,1048576,20ca4dd8b629a0788f660942d88a1ea8b7ab546d0184255f971fe069b37e4a5c,.cache/deskpet-audit/render-screenshots/bangdream_012_casual.png,,,2026-06-14T19:19:30.324Z,1016
bangdream_012_casual_summer,012_casual_summer,012,濑田薰,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/012_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,62685,0.273973,0,25,439,436,440,412,52,34,344,430,0.762842,1.27907,0.95814,52,43,9,0,good,1,1048576,7e1d9197fafaa289a6c491ec474ac4f9dc106bd2fe148e1abfc41bbd2808ea93,.cache/deskpet-audit/render-screenshots/bangdream_012_casual_summer.png,,,2026-06-14T19:19:31.340Z,1050
bangdream_012_casual_winter,012_casual_winter,012,濑田薰,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/012_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,65989,0.288413,0,24,439,436,440,413,52,34,344,430,0.760995,1.27907,0.960465,52,43,10,0,good,1,1048576,c60df674eec7add5bc156da73333837553ba16102000ecf3147601b11259fd7a,.cache/deskpet-audit/render-screenshots/bangdream_012_casual_winter.png,,,2026-06-14T19:19:32.390Z,1050
bangdream_013_casual,013_casual,013,北泽育美,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/013_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,56930,0.24882,0,69,439,436,440,368,52,34,344,430,0.779694,1.27907,0.855814,52,43,0,0,good,1,1048576,f6e3fe677ef65ecfad8370efbd5139f4b41a49a5dc92aef407526603c0fbf4ec,.cache/deskpet-audit/render-screenshots/bangdream_013_casual.png,,,2026-06-14T19:19:33.440Z,999
bangdream_013_casual_summer,013_casual_summer,013,北泽育美,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/013_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,55558,0.242823,0,68,439,436,440,369,52,34,344,430,0.779699,1.27907,0.85814,52,43,0,0,good,1,1048576,5f366f89445851458a71fe8c8a9b65df33e76c3d3144b4fc294687c774c33a02,.cache/deskpet-audit/render-screenshots/bangdream_013_casual_summer.png,,,2026-06-14T19:19:34.439Z,1034
bangdream_013_casual_winter,013_casual_winter,013,北泽育美,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/013_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,60683,0.265223,0,63,439,436,440,374,52,34,344,430,0.779728,1.27907,0.869767,52,43,0,0,good,1,1048576,ef1c156456059fae782c1403153e9fa918acd8af8f5742524b0a3341b6ca91f7,.cache/deskpet-audit/render-screenshots/bangdream_013_casual_winter.png,,,2026-06-14T19:19:35.473Z,1033
bangdream_014_casual,014_casual,014,松原花音,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/014_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,64211,0.280642,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,e8c711dfed3b3ca119982820ceead3102f456c0619602ad3f34044eacee2c98e,.cache/deskpet-audit/render-screenshots/bangdream_014_casual.png,,,2026-06-14T19:19:36.506Z,1034
